Country,Company
Cambodia,Mfone
Cambodia,Mfone (Thaicom) (Closed Q1 2013)
Cambodia,Qb (CADCOMMS) (Closed Q2 2020)
Cambodia,Smart (Axiata)
Cambodia,Smart Axiata
Cambodia,Sotelco
Cambodia,Star-Cell (Applifone) (Merged Q4 2010)
Cambodia,Tricelcam
Cambodia,Viettel Cambodia
Cambodia,Yes Cambodia
Cambodia,Yes Seatel
Cameroon,4G Africa
Cameroon,CamTel
Cameroon,Camtel Cameroon
Cameroon,MTN
Cameroon,MTN Cameroon
Cameroon,Nexttel
Cameroon,Nexttel (Viettel)
Cameroon,Orange
Cameroon,Orange Cameroon
Cameroon,Providence Technologique
Cameroon,Set'Mobile
Cameroon,Sns Cameroun
Cameroon,Vodafone (Afrimax) (Closed Q3 2017)
Canada,Airtel Wireless
Canada,Aliant
Canada,Aliant Mobility (Merged Q3 2006)
Canada,Bell
Canada,Bell (BCE)
Canada,Bell Canada
Canada,CityWest (Closed Q1 2014)
Canada,Cogeco
Canada,Dryden Mobility (DMTS) (Merged Q4 2012)
Canada,EastLink
Canada,EastLink (Bragg Communications)
Canada,Fido (Merged Q4 2004)
Canada,Fido Solutions
Canada,Fleetcom (Lakeshore)
Canada,Freedom Mobile (Shaw Communications) (Merged Q2 2023)
Canada,ILEC Affiliates
Canada,Ice Wireless
Canada,Keewaytinook Mobile
Canada,Lynx Mobility (OmniGlobe Networks) (Closed Q4 2015)
Canada,MTS
Canada,MTS Wireless (Manitoba Telecom Services) (Merged Q1 2017)
Canada,Microcell
Canada,Mobilicity
Canada,Mobilicity (DAVE) (Merged Q3 2015)
Canada,Mobility Canada
Canada,Other
Canada,Public Mobile
Canada,Public Mobile (Merged Q4 2013)
Canada,QINIQ (SSI Micro)
Canada,Rogers
Canada,SaskTel
Canada,Shaw
Canada,Shaw (Merged Q2 2023)
Canada,Superior Wireless (Merged Q3 2006)
Canada,TELUS
Canada,TNW Wireless (Investel Capital)
Canada,Tbaytel
Canada,Telus
Canada,Videotron
Canada,Videotron (Quebecor Media)
Canada,Virgin Mobile Canada
Canada,WestNet Wireless
Canada,Wightman Telecom
Canada,Xplore Mobile (Xplornet Communications) (Closed Q3 2022)
Cape Verde,CVTelecom
Cape Verde,T-Plus
Cape Verde,Unitel T+
Cayman Islands,Cingular (Merged Q4 2005)
Cayman Islands,Digicel
Cayman Islands,Digicel Cayman Islands
Cayman Islands,Flow (Liberty Latin America)
Cayman Islands,Flow Cayman Islands
Central African Republic,Azur (Bintel) (Closed Q4 2017)
Central African Republic,CTP Socatel (Closed Q2 2004)
Central African Republic,Moov (Maroc Telecom)
Central African Republic,Moov CAR
Central African Republic,Nationlink CAR
Central African Republic,Orange
Central African Republic,Orange CAR
Central African Republic,Telecel
Central African Republic,Telecel CAR
Chad,Airtel (Airtel Africa)
Chad,Airtel Chad
Chad,Moov Africa (Maroc Telecom)
Chad,Moov Africa Chad
Chad,Orascom Telecom
Chad,Salam Mobile
Chad,Sotel
Chad,Tchad Mobile (Closed Q3 2004)
Chad,Zain Chad
Chile,BellSouth (Merged Q1 2005)
Chile,BellSouth Comunicaciones
Chile,CTC Comunicaciones Móviles
Chile,Claro
Chile,Claro (America Movil)
Chile,Claro Chile
Chile,Claro DTH SpA
Chile,DirecTV
